Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,7,10:15 - 10:29,Cashier,87.71,11,7.97,11,7.97,11,7.97,1.0,1.0
,,7,10:30 - 10:44,Cashier,78.92,13,6.07,13,6.07,13,6.07,1.0,1.0
,,7,10:45 - 10:59,Cashier,34.73,6,5.79,6,5.79,6,5.79,1.0,1.0
,,7,11:00 - 11:14,Cashier,28.59,5,5.72,5,5.72,5,5.72,1.0,1.0
,,7,11:15 - 11:29,Cashier,85.39,11,7.76,11,7.76,11,7.76,1.0,1.0
,,7,11:30 - 11:44,Cashier,39.01,7,5.57,7,5.57,7,5.57,1.0,1.0
,,7,11:45 - 11:59,Cashier,59.71,7,8.53,7,8.53,7,8.53,1.0,1.0
,,7,12:00 - 12:14,Cashier,156.41,16,9.78,16,9.78,16,9.78,1.0,1.0
,,7,12:15 - 12:29,Cashier,170.4,18,9.47,18,9.47,18,9.47,1.0,1.0
,,7,12:30 - 12:44,Cashier,97.31,13,7.49,13,7.49,13,7.49,1.0,1.0
,,7,12:45 - 12:59,Cashier,80.21,11,7.29,11,7.29,11,7.29,1.0,1.0
,,7,13:00 - 13:14,Cashier,50.53,8,6.32,8,6.32,8,6.32,1.0,1.0
,,7,13:15 - 13:29,Cashier,127.25,15,8.48,15,8.48,15,8.48,1.0,1.0
,,7,13:30 - 13:44,Cashier,136.49,20,6.82,20,6.82,20,6.82,1.0,1.0
,,7,13:45 - 13:59,Cashier,58.26,7,8.32,7,8.32,7,8.32,1.0,1.0
,,7,14:00 - 14:14,Cashier,53.2,10,5.32,10,5.32,10,5.32,1.0,1.0
,,7,14:15 - 14:29,Cashier,76.66,13,5.9,13,5.9,13,5.9,1.0,1.0
,,7,14:30 - 14:44,Cashier,100.49,14,7.18,14,7.18,14,7.18,1.0,1.0
,,7,14:45 - 14:59,Cashier,27.69,5,5.54,5,5.54,5,5.54,1.0,1.0
,,7,15:00 - 15:14,Cashier,77.17,13,5.94,13,5.94,13,5.94,1.0,1.0
,,7,15:15 - 15:29,Cashier,69.9,14,4.99,14,4.99,14,4.99,1.0,1.0
,,7,15:30 - 15:44,Cashier,41.92,7,5.99,7,5.99,7,5.99,1.0,1.0
,,7,15:45 - 15:59,Cashier,35.97,6,6.0,6,6.0,6,6.0,1.0,1.0
,,7,16:00 - 16:14,Cashier,37.49,7,5.36,7,5.36,7,5.36,1.0,1.0
,,7,16:15 - 16:29,Cashier,70.98,9,7.89,9,7.89,9,7.89,1.0,1.0
,,7,16:30 - 16:44,Cashier,46.58,6,7.76,6,7.76,6,7.76,1.0,1.0
,,7,16:45 - 16:59,Cashier,37.5,6,6.25,6,6.25,6,6.25,1.0,1.0
,,7,17:00 - 17:14,Cashier,2.35,1,2.35,1,2.35,1,2.35,1.0,1.0
,,7,---,---,2360.85,342,6.9,342,6.9,342,6.9,1.0,1.0
,,8,07:30 - 07:44,Cashier,26.49,5,5.3,5,5.3,5,5.3,1.0,1.0
,,8,07:45 - 07:59,Cashier,15.34,3,5.11,3,5.11,3,5.11,1.0,1.0
,,8,08:00 - 08:14,Cashier,39.38,6,6.56,6,6.56,6,6.56,1.0,1.0
