Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,,08:30 - 08:44,Cashier,25.08,4,6.27,4,6.27,4,6.27,1,1
,,,08:45 - 08:59,Cashier,59.77,7,8.54,7,8.54,7,8.54,1,1
,,,09:00 - 09:14,Cashier,11.4,2,5.7,2,5.7,2,5.7,1,1
,,,09:15 - 09:29,Cashier,17.84,3,5.95,3,5.95,3,5.95,1,1
,,,09:30 - 09:44,Cashier,23.88,3,7.96,3,7.96,3,7.96,1,1
,,,09:45 - 09:59,Cashier,9.15,2,4.58,2,4.58,2,4.58,1,1
,,,10:00 - 10:14,Cashier,36.31,4,9.08,4,9.08,4,9.08,1,1
,,,10:15 - 10:29,Cashier,30.63,5,6.13,5,6.13,5,6.13,1,1
,,,10:45 - 10:59,Cashier,12.89,2,6.45,2,6.45,2,6.45,1,1
,,,11:00 - 11:14,Cashier,6.75,1,6.75,1,6.75,1,6.75,1,1
,,,11:15 - 11:29,Cashier,21.34,4,5.33,4,5.33,4,5.33,1,1
,,,11:30 - 11:44,Cashier,20.97,3,6.99,3,6.99,3,6.99,1,1
,,,11:45 - 11:59,Cashier,45.42,5,9.08,5,9.08,5,9.08,1,1
,,,12:00 - 12:14,Cashier,26.99,5,5.4,5,5.4,5,5.4,1,1
,,,12:15 - 12:29,Cashier,34.52,5,6.9,5,6.9,5,6.9,1,1
,,,12:30 - 12:44,Cashier,13.19,2,6.59,2,6.59,2,6.59,1,1
,,,12:45 - 12:59,Cashier,12.14,3,4.05,3,4.05,3,4.05,1,1
,,,13:15 - 13:29,Cashier,2.65,1,2.65,1,2.65,1,2.65,1,1
,,,13:30 - 13:44,Cashier,15.89,2,7.95,2,7.95,2,7.95,1,1
,,,13:45 - 13:59,Cashier,3.35,1,3.35,1,3.35,1,3.35,1,1
,,,14:00 - 14:14,Cashier,33.94,5,6.79,5,6.79,5,6.79,1,1
,,,14:15 - 14:29,Cashier,4.99,1,4.99,1,4.99,1,4.99,1,1
,,,14:30 - 14:44,Cashier,8.4,1,8.4,1,8.4,1,8.4,1,1
,,,14:45 - 14:59,Cashier,7.45,1,7.45,1,7.45,1,7.45,1,1
,,,15:00 - 15:14,Cashier,22.94,3,7.65,3,7.65,3,7.65,1,1
,,,15:15 - 15:29,Cashier,10.94,1,10.94,1,10.94,1,10.94,1,1
,,,15:30 - 15:44,Cashier,15.5,2,7.75,2,7.75,2,7.75,1,1
,,,15:45 - 15:59,Cashier,6.1,2,3.05,2,3.05,2,3.05,1,1
,,,16:00 - 16:14,Cashier,4.45,1,4.45,1,4.45,1,4.45,1,1
,,24,---,---,605.94,91,6.66,91,6.66,91,6.66,1,1
,,25,08:00 - 08:14,Cashier,46.15,6,7.69,6,7.69,6,7.69,1,1
,,,08:15 - 08:29,Cashier,3.25,1,3.25,1,3.25,1,3.25,1,1
,,,08:30 - 08:44,Cashier,22.74,4,5.68,4,5.68,4,5.68,1,1
,,,08:45 - 08:59,Cashier,4.99,1,4.99,1,4.99,1,4.99,1,1
,,,09:00 - 09:14,Cashier,13.94,2,6.97,2,6.97,2,6.97,1,1
,,,09:15 - 09:29,Cashier,3.25,1,3.25,1,3.25,1,3.25,1,1
,,,09:30 - 09:44,Cashier,59.18,8,7.4,8,7.4,8,7.4,1,1
,,,09:45 - 09:59,Cashier,12.4,2,6.2,2,6.2,2,6.2,1,1
,,,10:00 - 10:14,Cashier,4.35,1,4.35,1,4.35,1,4.35,1,1
,,,10:15 - 10:29,Cashier,18.93,3,6.31,3,6.31,3,6.31,1,1
,,,10:30 - 10:44,Cashier,31.49,4,7.87,4,7.87,4,7.87,1,1
,,,10:45 - 10:59,Cashier,33.92,4,8.48,4,8.48,4,8.48,1,1
,,,11:00 - 11:14,Cashier,8.44,1,8.44,1,8.44,1,8.44,1,1
,,,11:15 - 11:29,Cashier,20.85,4,5.21,4,5.21,4,5.21,1,1
,,,11:30 - 11:44,Cashier,4.95,1,4.95,1,4.95,1,4.95,1,1
,,,11:45 - 11:59,Cashier,8.44,2,4.22,2,4.22,2,4.22,1,1
,,,12:00 - 12:14,Cashier,12.55,2,6.28,2,6.28,2,6.28,1,1
,,,12:15 - 12:29,Cashier,17.4,2,8.7,2,8.7,2,8.7,1,1
,,,12:30 - 12:44,Cashier,42.86,4,10.71,4,10.71,4,10.71,1,1
,,,12:45 - 12:59,Cashier,29.72,4,7.43,4,7.43,4,7.43,1,1
,,,13:00 - 13:14,Cashier,3,1,3,1,3,1,3,1,1
,,,13:15 - 13:29,Cashier,27.27,4,6.82,4,6.82,4,6.82,1,1
,,,13:30 - 13:44,Cashier,38.77,3,12.92,3,12.92,3,12.92,1,1
,,,13:45 - 13:59,Cashier,6.9,1,6.9,1,6.9,1,6.9,1,1
,,,14:00 - 14:14,Cashier,14.79,2,7.39,2,7.39,2,7.39,1,1
,,,14:15 - 14:29,Cashier,9,2,4.5,2,4.5,2,4.5,1,1
,,,14:45 - 14:59,Cashier,6.14,2,3.07,2,3.07,2,3.07,1,1
,,,15:00 - 15:14,Cashier,33.2,3,11.07,3,11.07,3,11.07,1,1
,,,15:15 - 15:29,Cashier,15.25,2,7.63,2,7.63,2,7.63,1,1
,,,15:30 - 15:44,Cashier,5.45,1,5.45,1,5.45,1,5.45,1,1
,,,15:45 - 15:59,Cashier,8.7,2,4.35,2,4.35,2,4.35,1,1
,,,16:00 - 16:14,Cashier,0,1,0,0,0,1,0,0,0
,,25,---,---,568.27,81,7.02,80,7.1,81,7.02,0.99,0.99
,,26,09:00 - 09:14,Cashier,32.92,3,10.97,3,10.97,3,10.97,1,1
,,,09:15 - 09:29,Cashier,5.75,1,5.75,1,5.75,1,5.75,1,1
,,,09:30 - 09:44,Cashier,7.48,1,7.48,1,7.48,1,7.48,1,1
,,,10:00 - 10:14,Cashier,57.92,3,19.31,3,19.31,3,19.31,1,1
,,,10:15 - 10:29,Cashier,33.22,5,6.64,5,6.64,5,6.64,1,1
,,,10:30 - 10:44,Cashier,31.94,2,15.97,2,15.97,2,15.97,1,1
,,,10:45 - 10:59,Cashier,8.94,1,8.94,1,8.94,1,8.94,1,1
,,,11:00 - 11:14,Cashier,60.12,4,15.03,4,15.03,4,15.03,1,1
,,,11:15 - 11:29,Cashier,41.42,3,13.81,3,13.81,3,13.81,1,1
,,,11:30 - 11:44,Cashier,8.24,1,8.24,1,8.24,1,8.24,1,1
,,,11:45 - 11:59,Cashier,16.78,2,8.39,2,8.39,2,8.39,1,1
,,,12:00 - 12:14,Cashier,18.8,3,6.27,3,6.27,3,6.27,1,1
,,,12:15 - 12:29,Cashier,17.64,3,5.88,3,5.88,3,5.88,1,1
,,,12:30 - 12:44,Cashier,30,3,10,3,10,3,10,1,1
,,,12:45 - 12:59,Cashier,35.26,6,5.88,6,5.88,6,5.88,1,1
,,,13:00 - 13:14,Cashier,10.24,2,5.12,2,5.12,2,5.12,1,1
,,,13:15 - 13:29,Cashier,44.92,3,14.97,3,14.97,3,14.97,1,1
,,,13:30 - 13:44,Cashier,7.14,1,7.14,1,7.14,1,7.14,1,1
,,,13:45 - 13:59,Cashier,13.89,2,6.95,2,6.95,2,6.95,1,1
,,,14:00 - 14:14,Cashier,12.45,2,6.22,1,12.45,2,6.22,0.5,0.5
,,,14:15 - 14:29,Cashier,26.62,2,13.31,2,13.31,2,13.31,1,1
,,,14:30 - 14:44,Cashier,44.05,6,7.34,6,7.34,6,7.34,1,1
,,,14:45 - 14:59,Cashier,22.48,2,11.24,2,11.24,2,11.24,1,1
,,,15:00 - 15:14,Cashier,4.95,1,4.95,1,4.95,1,4.95,1,1
,,,15:15 - 15:29,Cashier,8.7,2,4.35,2,4.35,2,4.35,1,1
,,,15:30 - 15:44,Cashier,23.23,3,7.74,3,7.74,3,7.74,1,1
,,,16:15 - 16:29,Cashier,17.68,3,5.89,3,5.89,3,5.89,1,1
,,,16:45 - 16:59,Cashier,2.75,1,2.75,1,2.75,1,2.75,1,1
,,,17:15 - 17:29,Cashier,0,1,0,0,0,1,0,0,0
,,26,---,---,645.53,72,8.97,70,9.22,72,8.97,0.97,0.97
,,27,09:00 - 09:14,Cashier,4.95,1,4.95,1,4.95,1,4.95,1,1
,,,09:15 - 09:29,Cashier,36.83,5,7.37,5,7.37,5,7.37,1,1
,,,09:30 - 09:44,Cashier,16.25,1,16.25,1,16.25,1,16.25,1,1
,,,10:00 - 10:14,Cashier,24.93,4,6.23,4,6.23,4,6.23,1,1
,,,10:15 - 10:29,Cashier,7.99,1,7.99,1,7.99,1,7.99,1,1
,,,10:30 - 10:44,Cashier,24.15,4,6.04,4,6.04,4,6.04,1,1
,,,10:45 - 10:59,Cashier,37.84,5,7.57,5,7.57,5,7.57,1,1
,,,11:00 - 11:14,Cashier,80.32,9,8.92,9,8.92,9,8.92,1,1
,,,11:15 - 11:29,Cashier,23.4,2,11.7,2,11.7,2,11.7,1,1
,,,11:30 - 11:44,Cashier,17.44,4,4.36,4,4.36,4,4.36,1,1
,,,11:45 - 11:59,Cashier,10.25,2,5.13,2,5.13,2,5.13,1,1
,,,12:00 - 12:14,Cashier,4.35,1,4.35,1,4.35,1,4.35,1,1
,,,12:30 - 12:44,Cashier,34.98,4,8.74,4,8.74,4,8.74,1,1
,,,12:45 - 12:59,Cashier,16.19,2,8.1,2,8.1,2,8.1,1,1
,,,13:00 - 13:14,Cashier,52.19,5,10.44,5,10.44,5,10.44,1,1
,,,13:15 - 13:29,Cashier,43.29,5,8.66,5,8.66,5,8.66,1,1
,,,13:30 - 13:44,Cashier,23.63,4,5.91,4,5.91,4,5.91,1,1
,,,13:45 - 13:59,Cashier,10.59,2,5.29,2,5.29,2,5.29,1,1
,,,14:00 - 14:14,Cashier,39.29,3,13.1,3,13.1,3,13.1,1,1
,,,14:15 - 14:29,Cashier,56.31,6,9.38,6,9.38,6,9.38,1,1
,,,14:30 - 14:44,Cashier,18.68,2,9.34,2,9.34,2,9.34,1,1
,,,14:45 - 14:59,Cashier,5.9,1,5.9,1,5.9,1,5.9,1,1
,,,15:15 - 15:29,Cashier,29.62,6,4.94,6,4.94,6,4.94,1,1
,,,15:30 - 15:44,Cashier,38.33,5,7.67,5,7.67,5,7.67,1,1
,,,15:45 - 15:59,Cashier,14.53,2,7.26,2,7.26,2,7.26,1,1
,,,16:00 - 16:14,Cashier,29.1,4,7.28,4,7.28,4,7.28,1,1
,,,16:15 - 16:29,Cashier,19.5,3,6.5,3,6.5,3,6.5,1,1
,,,16:30 - 16:44,Cashier,51.3,6,8.55,6,8.55,6,8.55,1,1
,,,16:45 - 16:59,Cashier,8.84,1,8.84,1,8.84,1,8.84,1,1
,,27,---,---,780.97,100,7.81,100,7.81,100,7.81,1,1
,,28,07:00 - 07:14,Cashier,9,1,9,1,9,1,9,1,1
,,,07:15 - 07:29,Cashier,49.25,8,6.16,8,6.16,8,6.16,1,1
,,,07:30 - 07:44,Cashier,58.05,8,7.26,8,7.26,8,7.26,1,1
,,,07:45 - 07:59,Cashier,27.02,4,6.75,4,6.75,4,6.75,1,1
,,,08:00 - 08:14,Cashier,69.55,9,7.73,9,7.73,9,7.73,1,1
,,,08:15 - 08:29,Cashier,39.34,6,6.56,6,6.56,6,6.56,1,1
,,,08:30 - 08:44,Cashier,26.62,4,6.66,4,6.66,4,6.66,1,1
,,,08:45 - 08:59,Cashier,55.01,6,9.17,6,9.17,6,9.17,1,1
,,,09:00 - 09:14,Cashier,80,8,10,8,10,8,10,1,1
,,,09:15 - 09:29,Cashier,60.96,7,8.71,7,8.71,7,8.71,1,1
,,,09:30 - 09:44,Cashier,93.9,11,8.54,11,8.54,11,8.54,1,1
,,,09:45 - 09:59,Cashier,91,11,8.27,11,8.27,11,8.27,1,1
,,,10:00 - 10:14,Cashier,121.25,14,8.66,14,8.66,14,8.66,1,1
