Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,,,11:30 - 11:44,Cashier,70.83,10,7.08,10,7.08,10,7.08,1,1
,,,,11:45 - 11:59,Cashier,31.44,4,7.86,4,7.86,4,7.86,1,1
,,,,12:00 - 12:14,Cashier,36.92,4,9.23,4,9.23,4,9.23,1,1
,,,,12:15 - 12:29,Cashier,59.19,10,5.92,10,5.92,10,5.92,1,1
,,,,12:30 - 12:44,Cashier,38.33,6,6.39,6,6.39,6,6.39,1,1
,,,,12:45 - 12:59,Cashier,52.65,8,6.58,8,6.58,8,6.58,1,1
,,,,13:00 - 13:14,Cashier,26.39,4,6.6,4,6.6,4,6.6,1,1
,,,,13:15 - 13:29,Cashier,57.09,8,7.14,8,7.14,8,7.14,1,1
,,,,13:30 - 13:44,Cashier,51.57,7,7.37,7,7.37,7,7.37,1,1
,,,,13:45 - 13:59,Cashier,96.69,17,5.69,17,5.69,17,5.69,1,1
,,,,14:00 - 14:14,Cashier,29.38,4,7.34,4,7.34,4,7.34,1,1
,,,,14:15 - 14:29,Cashier,59.79,12,4.98,12,4.98,12,4.98,1,1
,,,,14:30 - 14:44,Cashier,9,2,4.5,2,4.5,2,4.5,1,1
,,,,14:45 - 14:59,Cashier,40.63,7,5.8,7,5.8,7,5.8,1,1
,,,,15:00 - 15:14,Cashier,31.99,3,10.66,3,10.66,3,10.66,1,1
,,,,15:15 - 15:29,Cashier,42.39,8,5.3,8,5.3,8,5.3,1,1
,,,,15:30 - 15:44,Cashier,8.04,2,4.02,2,4.02,2,4.02,1,1
,,,11,---,---,1212.75,198,6.13,198,6.13,198,6.13,1,1
,,,14,07:45 - 07:59,Cashier,7.25,1,7.25,1,7.25,1,7.25,1,1
,,,,08:00 - 08:14,Cashier,5.25,1,5.25,1,5.25,1,5.25,1,1
,,,,08:15 - 08:29,Cashier,4.25,1,4.25,1,4.25,1,4.25,1,1
,,,,08:30 - 08:44,Cashier,15.78,2,7.89,2,7.89,2,7.89,1,1
,,,,08:45 - 08:59,Cashier,14.55,3,4.85,3,4.85,3,4.85,1,1
,,,,09:00 - 09:14,Cashier,27.08,5,5.42,5,5.42,5,5.42,1,1
,,,,09:15 - 09:29,Cashier,25.85,5,5.17,5,5.17,5,5.17,1,1
,,,,09:30 - 09:44,Cashier,7.9,2,3.95,2,3.95,2,3.95,1,1
,,,,09:45 - 09:59,Cashier,23.94,4,5.99,4,5.99,4,5.99,1,1
,,,,10:00 - 10:14,Cashier,15.25,3,5.08,3,5.08,3,5.08,1,1
,,,,10:15 - 10:29,Cashier,22.8,4,5.7,4,5.7,4,5.7,1,1
,,,,10:30 - 10:44,Cashier,33,3,11,3,11,3,11,1,1
,,,,10:45 - 10:59,Cashier,27.94,3,9.31,3,9.31,3,9.31,1,1
,,,,11:00 - 11:14,Cashier,17,2,8.5,2,8.5,2,8.5,1,1
,,,,11:15 - 11:29,Cashier,21.32,3,7.11,3,7.11,3,7.11,1,1
,,,,11:30 - 11:44,Cashier,29.08,4,7.27,4,7.27,4,7.27,1,1
,,,,11:45 - 11:59,Cashier,15.49,3,5.16,3,5.16,3,5.16,1,1
,,,,12:00 - 12:14,Cashier,53.32,7,7.62,7,7.62,7,7.62,1,1
,,,,12:15 - 12:29,Cashier,14.7,3,4.9,3,4.9,3,4.9,1,1
,,,,12:30 - 12:44,Cashier,33.28,5,6.66,5,6.66,5,6.66,1,1
,,,,12:45 - 12:59,Cashier,29.34,4,7.33,4,7.33,4,7.33,1,1
